"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2586","Test1","chromium","2026-05-26","passed","2026-05-26","","Reporting.spec.js","",""
"","4127","Test3","chromium","2026-05-26","passed","2026-05-26","","Reporting.spec.js","",""
"","605","Test2","chromium","2026-05-26","passed","2026-05-26","","Reporting.spec.js","",""
